TreeID,date,Species_Co,Common_Nam,Genus,Species,percent_lichen,Melanelixia_glabratula,Candelariella_reflexa,Flavoparmelia_caperata,Xanthomendoza_fallax,moth_presence
29,30-12-2020,mapnor,Norway Maple,Acer,platanoides,0,0,0,0,0,0
60,26-12-2020,lochon,Honey Locust,Gleditsia,triacanthos,15,0,0,1,0,1
61,26-12-2020,lochon,Honey Locust,Gleditsia,triacanthos,20,0,1,0,1,0
171,30-12-2020,lochon,Honey Locust,Gleditsia,tricanthos,0,0,0,0,0,0
172,30-12-2020,lochon,Honey Locust,Gleditsia,tricanthos,0,0,0,0,0,0
180,30-12-2020,lochon,Honey Locust,Gleditsia,tricanthos,0,0,0,0,0,0
240,26-12-2020,pinaus,Austrian Pine,Pinus,nigra,1,0,0,1,0,0
242,26-12-2020,oakred,Red Oak,Quercus,rubra,1,0,0,1,0,0
270,30-12-2020,oakred,Red Oak,Quercus,rubra,2,0,1,1,0,1
271,30-12-2020,oakred,Red Oak,Quercus,rubra,5,0,1,1,0,0
272,30-12-2020,oakred,Red Oak,Quercus,rubra,2,0,1,1,0,0
273,30-12-2020,oakred,Red Oak,Quercus,rubra,0,0,0,0,0,0
275,30-12-2020,oakred,Red Oak,Quercus,rubra,1,0,0,0,0,0
282,26-12-2020,oakred,Red Oak,Quercus,rubra,10,0,0,1,0,0
290,30-12-2020,lochon,Honey Locust,Gleditsia,tricanthos,20,0,1,1,0,0
290,26-12-2020,mapred,Red Maple,Acer,rubrum,30,1,0,1,1,0
293,26-12-2020,peapea,Flowering Pear,Pyrus,spp,40,1,0,1,0,0
294,26-12-2020,peapea,Flowering Pear,Pyrus,spp,40,1,0,1,0,0
297,30-12-2020,lochon,Honey Locust,Gleditsia,tricanthos,20,0,1,1,0,0
300,26-12-2020,peapea,Flowering Pear,Pyrus,spp,0,0,0,0,0,0
301,26-12-2020,peapea,Flowering Pear,Pyrus,spp,0,0,0,0,0,0
302,26-12-2020,peapea,Flowering Pear,Pyrus,spp,0,0,0,0,0,0
303,26-12-2020,peapea,Flowering Pear,Pyrus,spp,0,0,0,0,0,0
307,30-12-2020,lochon,Honey Locust,Gleditsia,tricanthos,20,0,1,1,0,1
307,26-12-2020,peapea,Flowering Pear,Pyrus,spp,0,0,0,0,0,0
308,26-12-2020,peapea,Flowering Pear,Pyrus,spp,0,0,0,0,0,0
309,30-12-2020,lochon,Honey Locust,Gleditsia,tricanthos,20,0,1,1,0,1
311,30-12-2020,lochon,Honey Locust,Gleditsia,tricanthos,20,0,1,1,0,0
311,26-12-2020,appcra,Crab Apple,Malus,spp,0,0,0,0,0,0
313,26-12-2020,appcra,Crab Apple,Malus,spp,0,0,0,0,0,0
314,30-12-2020,lochon,Honey Locust,Gleditsia,tricanthos,30,0,1,1,0,0
319,26-12-2020,oakred,Red Oak,Quercus,rubra,0,0,0,0,0,0
320,26-12-2020,ginkgo,Ginkgo,Ginkgo,biloba,0,0,0,0,0,0
323,30-12-2020,pinaus,Austrian Pine,Pinus,nigra,0,0,0,0,0,0
329,30-12-2020,lochon,Honey Locust,Gleditsia,tricanthos,20,0,0,1,0,0
330,30-12-2020,lochon,Honey Locust,Gleditsia,tricanthos,2,0,0,1,0,0
337,26-12-2020,ginkgo,Ginkgo,Ginkgo,biloba,0,0,0,0,0,0
338,26-12-2020,ginkgo,Ginkgo,Ginkgo,biloba,0,0,0,0,0,0
339,26-12-2020,ginkgo,Ginkgo,Ginkgo,biloba,0,0,0,0,0,0
340,26-12-2020,ginkgo,Ginkgo,Ginkgo,biloba,0,0,0,0,0,0
341,26-12-2020,ginkgo,Ginkgo,Ginkgo,biloba,0,0,0,0,0,0
344,30-12-2020,lochon,Honey Locust,Gleditsia,tricanthos,20,0,1,1,0,0
358,26-12-2020,oakred,Red Oak,Quercus,rubra,30,1,0,1,0,0
375,26-12-2020,peapea,Flowering Pear,Pyrus,spp,15,1,0,1,0,0
376,26-12-2020,peapea,Flowering Pear,Pyrus,spp,20,1,0,1,0,0
377,26-12-2020,peapea,Flowering Pear,Pyrus,spp,20,1,0,1,0,0
379,26-12-2020,peapea,Flowering Pear,Pyrus,spp,20,1,0,1,0,0
381,26-12-2020,peapea,Flowering Pear,Pyrus,spp,20,1,0,1,0,0
382,26-12-2020,peapea,Flowering Pear,Pyrus,spp,25,1,0,1,0,0
384,26-12-2020,peapea,Flowering Pear,Pyrus,spp,20,1,0,1,0,0
385,26-12-2020,peapea,Flowering Pear,Pyrus,spp,15,1,0,1,0,0
385,26-12-2020,ginkgo,Ginkgo,Ginkgo,biloba,10,0,0,0,0,0
386,26-12-2020,peapea,Ginkgo,Ginkgo,biloba,10,0,0,0,0,0
388,26-12-2020,peapea,Flowering Pear,Pyrus,spp,15,1,0,1,0,0
390,26-12-2020,peapea,Flowering Pear,Pyrus,spp,20,1,0,1,0,0
393,26-12-2020,peapea,Flowering Pear,Pyrus,spp,20,1,0,1,0,0
394,26-12-2020,peapea,Flowering Pear,Pyrus,spp,20,1,0,1,0,0
396,26-12-2020,peapea,Flowering Pear,Pyrus,spp,20,1,0,1,0,0
398,26-12-2020,peapea,Flowering Pear,Pyrus,spp,20,1,0,1,0,1
426,26-12-2020,pinaus,Austrian Pine,Pinus,nigra,0,0,0,0,0,0
427,26-12-2020,pinaus,Austrian Pine,Pinus,nigra,0,0,0,0,0,0
429,26-12-2020,appcra,Crab Apple,Malus,spp,1,0,1,0,0,0
430,26-12-2020,appcra,Crab Apple,Malus,spp,1,0,1,0,0,0
433,26-12-2020,pinaus,Austrian Pine,Pinus,nigra,0,0,1,0,0,0
434,26-12-2020,pinaus,Austrian Pine,Pinus,nigra,0,0,0,0,0,0
436,26-12-2020,pinaus,Austrian Pine,Pinus,nigra,0,0,0,0,0,0
439,26-12-2020,appcra,Crab Apple,Malus,spp,0,0,1,0,0,0
450,26-12-2020,appcra,Crab Apple,Malus,spp,0,0,1,0,0,0
453,24-12-2020,mapred,Red Maple,Acer,rubrum,0,0,0,0,0,0
454,26-12-2020,appcra,Crab Apple,Malus,spp,1,0,1,0,0,0
462,26-12-2020,appcra,Crab Apple,Malus,spp,0,1,0,1,0,0
463,26-12-2020,appcra,Crab Apple,Malus,spp,5,1,0,1,0,0
476,26-12-2020,pinaus,Austrian Pine,Pinus,nigra,0,0,0,0,0,0
511,26-12-2020,peapea,Flowering Pear,Pyrus,spp,30,0,0,1,1,0
513,26-12-2020,appcra,Crab Apple,Malus,spp,0,0,0,0,0,0
514,26-12-2020,appcra,Crab Apple,Malus,spp,0,0,0,0,0,0
535,24-12-2020,oakred,Red Oak,Quercus,rubra,50,1,0,0,0,0
544,26-12-2020,ginkgo,Ginkgo,Ginkgo,biloba,0,0,0,0,0,0
545,26-12-2020,peapea,Flowering Pear,Pyrus,spp,0,0,0,0,0,0
547,26-12-2020,appcra,Crab Apple,Malus,spp,0,0,0,0,0,0
548,26-12-2020,mapnor,Norway Maple,Acer,platanoides,0,0,0,0,0,0
550,26-12-2020,oakred,Red Oak,Quercus,rubra,30,0,0,1,1,1
551,26-12-2020,oakred,Red Oak,Quercus,rubra,10,0,0,1,1,0
555,26-12-2020,mapred,Red Maple,Acer,rubrum,20,1,0,0,1,0
559,26-12-2020,mapnor,Norway Maple,Acer,platanoides,20,0,1,1,0,0
561,26-12-2020,mapred,Red Maple,Acer,rubrum,20,0,1,1,0,0
564,26-12-2020,mapnor,Norway Maple,Acer,platanoides,20,0,1,1,0,0
569,26-12-2020,mapred,Red Maple,Acer,rubrum,10,1,0,0,1,0
573,26-12-2020,mapred,Red Maple,Acer,rubrum,15,0,1,1,0,0
576,26-12-2020,mapred,Red Maple,Acer,rubrum,15,0,1,1,0,0
577,26-12-2020,mapred,Red Maple,Acer,rubrum,30,0,1,0,0,1
578,26-12-2020,mapnor,Norway Maple,Acer,platanoides,15,0,1,0,0,1
580,26-12-2020,mapnor,Norway Maple,Acer,platanoides,20,0,1,0,0,1
581,26-12-2020,mapred,Red Maple,Acer,rubrum,10,0,1,0,0,0
582,26-12-2020,mapnor,Norway Maple,Acer,platanoides,10,0,1,0,0,1
585,26-12-2020,mapred,Red Maple,Acer,rubrum,20,0,1,0,0,0
587,26-12-2020,mapred,Red Maple,Acer,rubrum,10,0,1,0,0,0
647,24-12-2020,ginkgo,Ginkgo,Ginkgo,biloba,1,1,0,0,0,0
648,24-12-2020,ginkgo,Ginkgo,Ginkgo,biloba,1,1,0,0,0,0
649,24-12-2020,ginkgo,Ginkgo,Ginkgo,biloba,7,1,0,0,0,0
650,24-12-2020,ginkgo,Ginkgo,Ginkgo,biloba,5,1,0,0,0,0
651,24-12-2020,ginkgo,Ginkgo,Ginkgo,biloba,2,1,0,0,0,0
652,24-12-2020,ginkgo,Ginkgo,Ginkgo,biloba,2,1,0,0,0,0
656,24-12-2020,mapnor,Norway Maple,Acer,platanoides,10,1,0,0,0,0
657,26-12-2020,peapea,Flowering Pear,Pyrus,spp,20,1,0,0,1,0
657,24-12-2020,mapnor,Norway Maple,Acer,platanoides,10,1,0,0,0,0
658,26-12-2020,peapea,Flowering Pear,Pyrus,spp,15,1,0,0,1,0
659,26-12-2020,peapea,Flowering Pear,Pyrus,spp,15,1,0,0,1,0
660,26-12-2020,peapea,Flowering Pear,Pyrus,spp,20,1,0,0,1,0
661,26-12-2020,peapea,Flowering Pear,Pyrus,spp,20,1,0,0,1,0
662,26-12-2020,peapea,Flowering Pear,Pyrus,spp,20,1,0,0,1,0
663,26-12-2020,peapea,Flowering Pear,Pyrus,spp,20,1,0,0,1,0
665,26-12-2020,peapea,Flowering Pear,Pyrus,spp,30,1,0,0,1,0
667,26-12-2020,peapea,Flowering Pear,Pyrus,spp,30,1,0,0,1,0
668,26-12-2020,peapea,Flowering Pear,Pyrus,spp,30,1,0,0,1,0
670,26-12-2020,peapea,Flowering Pear,Pyrus,spp,12,1,0,0,1,0
755,24-12-2020,oakred,Red Oak,Quercus,rubra,10,1,1,0,0,0
764,24-12-2020,oakred,Red Oak,Quercus,rubra,10,1,1,0,0,0
870,30-12-2020,mapred,Red Maple,Acer,rubrum,5,1,0,1,0,0
871,30-12-2020,mapred,Red Maple,Acer,rubrum,2,1,0,1,0,0
883,30-12-2020,mapred,Red Maple,Acer,rubrum,0,0,0,0,0,0
884,30-12-2020,mapred,Red Maple,Acer,rubrum,0,0,0,0,0,0
885,30-12-2020,mapred,Red Maple,Acer,rubrum,0,0,0,0,0,0
886,30-12-2020,mapred,Red Maple,Acer,rubrum,0,0,0,0,0,0
887,30-12-2020,mapred,Red Maple,Acer,rubrum,0,0,0,0,0,0
888,30-12-2020,mapred,Red Maple,Acer,rubrum,0,0,0,0,0,0
896,30-12-2020,lochon,Honey Locust,Gleditsia,tricanthos,2,0,0,1,0,0
900,30-12-2020,lochon,Honey Locust,Gleditsia,tricanthos,10,0,0,1,0,0
909,30-12-2020,lochon,Honey Locust,Gleditsia,tricanthos,2,0,0,1,0,0
912,30-12-2020,lochon,Honey Locust,Gleditsia,tricanthos,10,0,0,1,0,0
912,26-12-2020,oakred,Red Oak,Quercus,rubra,0,0,0,0,0,0
916,26-12-2020,oakred,Red Oak,Quercus,rubra,0,0,0,0,0,0
918,24-12-2020,ginkgo,Ginkgo,Ginkgo,biloba,0,0,0,0,0,0
919,24-12-2020,ginkgo,Ginkgo,Ginkgo,biloba,0,0,0,0,0,0
920,24-12-2020,ginkgo,Ginkgo,Ginkgo,biloba,0,0,0,0,0,0
921,24-12-2020,ginkgo,Ginkgo,Ginkgo,biloba,0,0,0,0,0,0
922,24-12-2020,ginkgo,Ginkgo,Ginkgo,biloba,0,0,0,0,0,0
923,24-12-2020,ginkgo,Ginkgo,Ginkgo,biloba,0,0,0,0,0,0
924,24-12-2020,ginkgo,Ginkgo,Ginkgo,biloba,0,0,0,0,0,0
925,24-12-2020,ginkgo,Ginkgo,Ginkgo,biloba,0,0,0,0,0,0
927,24-12-2020,ginkgo,Ginkgo,Ginkgo,biloba,0,0,0,0,0,0
928,24-12-2020,ginkgo,Ginkgo,Ginkgo,biloba,0,0,0,0,0,0
929,30-12-2020,lochon,Honey Locust,Gleditsia,tricanthos,30,0,1,1,0,0
929,24-12-2020,ginkgo,Ginkgo,Ginkgo,biloba,0,0,0,0,0,0
930,24-12-2020,ginkgo,Ginkgo,Ginkgo,biloba,0,0,0,0,0,0
931,24-12-2020,ginkgo,Ginkgo,Ginkgo,biloba,0,0,0,0,0,0
932,24-12-2020,ginkgo,Ginkgo,Ginkgo,biloba,0,0,0,0,0,0
933,24-12-2020,ginkgo,Ginkgo,Ginkgo,biloba,0,0,0,0,0,0
934,24-12-2020,ginkgo,Ginkgo,Ginkgo,biloba,0,0,0,0,0,0
935,24-12-2020,ginkgo,Ginkgo,Ginkgo,biloba,0,0,0,0,0,0
